English Name,Botanical Name,Plant Family,Strata,Lifecycle,Time-to-Maturity,Lifespan,Zone,Origin,Function,Spacing,Image Name,Image Prompt
Onion,Allium cepa,Amaryllidaceae,High,Placenta 1,6-8 months,Biennial,3-9,Central Asia,Food,10-20 cm,Allium_cepa.jpg,"Botanical illustration of Onion (Allium cepa) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Onion (Allium cepa). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Amaryllidaceae, Strata: High, Lifecycle: Placenta 1, Time to Maturity: 6-8 months, Lifespan: Biennial, Zone: 3-9, Origin: Central Asia, Function: Food, Spacing: 10-20 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Garlic,Allium sativum,Amaryllidaceae,High,Placenta 1,6-8 months,Perennial,3-8,South Asia,Food,10-20 cm,Allium_sativum.jpg,"Botanical illustration of Garlic (Allium sativum) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Garlic (Allium sativum). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Amaryllidaceae, Strata: High, Lifecycle: Placenta 1, Time to Maturity: 6-8 months, Lifespan: Perennial, Zone: 3-8, Origin: South Asia, Function: Food, Spacing: 10-20 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Garlic Chives,Allium tuberosum,Amaryllidaceae,High,Placenta 2,3-4 months,Perennial,4-9,East Asia,Food,10-20 cm,Allium_tuberosum.jpg,"Botanical illustration of Garlic Chives (Allium tuberosum) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Garlic Chives (Allium tuberosum). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Amaryllidaceae, Strata: High, Lifecycle: Placenta 2, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 4-9, Origin: East Asia, Function: Food, Spacing: 10-20 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Aloe Vera,Aloe vera,Asphodelaceae,Medium,Secondary 1,3-4 months,Perennial,9-11,Africa,Food,30-100 cm,Aloe_vera.jpg,"Botanical illustration of Aloe Vera (Aloe vera) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Aloe Vera (Aloe vera). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Asphodelaceae, Strata: Medium, Lifecycle: Secondary 1, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 9-11, Origin: Africa, Function: Food, Spacing: 30-100 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Red Ginger,Alpinia purpurata,Zingiberaceae,Medium,Secondary 2,3-4 months,Perennial,9-11,Southeast Asia,Support,1-2 m,Alpinia_purpurata.jpg,"Botanical illustration of Red Ginger (Alpinia purpurata) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Red Ginger (Alpinia purpurata). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Zingiberaceae, Strata: Medium, Lifecycle: Secondary 2, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 9-11, Origin: Southeast Asia, Function: Support, Spacing: 1-2 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Joyweed,Alternanthera sissoo,Amaranthaceae,Low,Secondary 1,3-4 months,Perennial,9-11,South America,Food,10-20 cm,Alternanthera_sissoo.jpg,"Botanical illustration of Joyweed (Alternanthera sissoo) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Joyweed (Alternanthera sissoo). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Amaranthaceae, Strata: Low, Lifecycle: Secondary 1, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 9-11, Origin: South America, Function: Food, Spacing: 10-20 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Love-Lies-Bleeding,Amaranthus caudatus,Amaranthaceae,Emergent,Placenta 1,3-4 months,Annual,2-11,South America,Food,30-100 cm,Amaranthus_caudatus.jpg,"Botanical illustration of Love-Lies-Bleeding (Amaranthus caudatus) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Love-Lies-Bleeding (Amaranthus caudatus). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Amaranthaceae, Strata: Emergent, Lifecycle: Placenta 1, Time to Maturity: 3-4 months, Lifespan: Annual, Zone: 2-11, Origin: South America, Function: Food, Spacing: 30-100 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Pride of Burma,Amherstia nobilis,Fabaceae,High,Secondary 2,4-5 years,20-30 years,10-12,Southeast Asia,Support,3-4 m,Amherstia_nobilis.jpg,"Botanical illustration of Pride of Burma (Amherstia nobilis) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Pride of Burma (Amherstia nobilis). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: High, Lifecycle: Secondary 2, Time to Maturity: 4-5 years, Lifespan: 20-30 years, Zone: 10-12, Origin: Southeast Asia, Function: Support, Spacing: 3-4 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Wild Cashew,Anacardium excelsum,Anacardiaceae,Emergent,Climax,5-7 years,50-100 years,10-12,Central America,Wood,4-6 m,Anacardium_excelsum.jpg,"Botanical illustration of Wild Cashew (Anacardium excelsum) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Wild Cashew (Anacardium excelsum). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Anacardiaceae, Strata: Emergent, Lifecycle: Climax, Time to Maturity: 5-7 years, Lifespan: 50-100 years, Zone: 10-12, Origin: Central America, Function: Wood, Spacing: 4-6 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Cashew,Anacardium occidentale,Anacardiaceae,High,Climax,3-4 years,20-30 years,10-11,South America,Food,7-15 m,Anacardium_occidentale.jpg,"Botanical illustration of Cashew (Anacardium occidentale) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Cashew (Anacardium occidentale). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Anacardiaceae, Strata: High, Lifecycle: Climax, Time to Maturity: 3-4 years, Lifespan: 20-30 years, Zone: 10-11, Origin: South America, Function: Food, Spacing: 7-15 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Pineapple,Ananas comosus,Bromeliaceae,Low,Secondary 1,1-2 years,3-5 years,10-11,South America,Food,40-100 cm,Ananas_comosus.jpg,"Botanical illustration of Pineapple (Ananas comosus) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Pineapple (Ananas comosus). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Bromeliaceae, Strata: Low, Lifecycle: Secondary 1, Time to Maturity: 1-2 years, Lifespan: 3-5 years, Zone: 10-11, Origin: South America, Function: Food, Spacing: 40-100 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Dill,Anethum graveolens,Apiaceae,Medium,Placenta 2,3-4 months,Annual,2-11,Southwest Asia,Food,30-50 cm,Anethum_graveolens.jpg,"Botanical illustration of Dill (Anethum graveolens) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Dill (Anethum graveolens). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Apiaceae, Strata: Medium, Lifecycle: Placenta 2, Time to Maturity: 3-4 months, Lifespan: Annual, Zone: 2-11, Origin: Southwest Asia, Function: Food, Spacing: 30-50 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Biriba,Annona deliciosa,Annonaceae,Medium,Secondary 2,3-5 years,20-30 years,10-12,South America,Food,4-10 m,Annona_deliciosa.jpg,"Botanical illustration of Biriba (Annona deliciosa) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Biriba (Annona deliciosa). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Annonaceae, Strata: Medium, Lifecycle: Secondary 2, Time to Maturity: 3-5 years, Lifespan: 20-30 years, Zone: 10-12, Origin: South America, Function: Food, Spacing: 4-10 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Soursop,Annona muricata,Annonaceae,Medium,Secondary 2,3-5 years,20-30 years,10-11,Central America,Food,4-10 m,Annona_muricata.jpg,"Botanical illustration of Soursop (Annona muricata) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Soursop (Annona muricata). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Annonaceae, Strata: Medium, Lifecycle: Secondary 2, Time to Maturity: 3-5 years, Lifespan: 20-30 years, Zone: 10-11, Origin: Central America, Function: Food, Spacing: 4-10 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Soncoya,Annona purpurea,Annonaceae,Medium,Secondary 2,4-5 years,20-30 years,10-11,Central America,Food,2-3 m,Annona_purpurea.jpg,"Botanical illustration of Soncoya (Annona purpurea) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Soncoya (Annona purpurea). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Annonaceae, Strata: Medium, Lifecycle: Secondary 2, Time to Maturity: 4-5 years, Lifespan: 20-30 years, Zone: 10-11, Origin: Central America, Function: Food, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Custard Apple,Annona reticulata,Annonaceae,Medium,Secondary 2,3-5 years,20-30 years,10-11,Central America,Food,2-3 m,Annona_reticulata.jpg,"Botanical illustration of Custard Apple (Annona reticulata) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Custard Apple (Annona reticulata). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Annonaceae, Strata: Medium, Lifecycle: Secondary 2, Time to Maturity: 3-5 years, Lifespan: 20-30 years, Zone: 10-11, Origin: Central America, Function: Food, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Anthurium,Anthurium salvinii,Araceae,Low,Climax,3-4 months,Perennial,10-11,Central America,Support,1-2 m,Anthurium_salvinii.jpg,"Botanical illustration of Anthurium (Anthurium salvinii) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Anthurium (Anthurium salvinii). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Araceae, Strata: Low, Lifecycle: Climax, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 10-11, Origin: Central America, Function: Support, Spacing: 1-2 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
